Jean Pierre Zanen Strooss	Jean-Pierre-Zanen-Strooss
Aal Strooss	Al Strooss
Tony Bourg Strooss	Tony-Bourg-Strooss
Brotemer Strooss	Brotemerstrooss
Beiricher Strooss	Beiricherstrooss
Hannerhasselter Strooss	Hannerhasselterstrooss
Béigener Strooss	Béigenerstrooss
Jos Seyler Strooss	Jos-Seyler-Strooss
Waler Strooss	Walerstrooss
Alschter Strooss	Alschterstrooss
Konstemer Strooss	Konstemerstrooss
Jean Brachmond Strooss	Jean-Brachmond-Strooss
Iewescht Strooss	Ieweschtstrooss
Mathias Braun Strooss	Mathias-Braun-Strooss
Mathias Wirtz Strooss	Mathias-Wirtz-Strooss
Bernard Neis-Strooss	Bernard-Neis-Strooss
Ernest Mehlen-Strooss	Ernest-Mehlen-Strooss
Robert Wiget Strooss	Robert-Wiget-Strooss
Péiter vun Uespelt-Strooss	Péiter-vun-Uespelt-Strooss
Robert Schuman-Strooss	Robert-Schuman-Strooss
Grengewee	Grénge Wee
Rue An der Messer	Rue an der Messer
Z.A.E. WOLSER A	Zone d'Activité Économique Wolser A
Z.A.E. WOLSER B	Zone d'Activité Économique Wolser B
Z.A.E. WOLSER E	Zone d'Activité Économique Wolser E
Z.A.E. WOLSER F	Zone d'Activité Économique Wolser F
Z.A.E. WOLSER G	Zone d'Activité Économique Wolser G
Z.A.E. WOLSER H	Zone d'Activité Économique Wolser H
Rue Meechtem	Rue Mechtem
Palmberg	Rue Palmberg
Am Ourbécher	Am Uerbecher
Rue Burgkapp	Buurgkapp
Rue Burgknapp	Buurgkapp
Gaessel	Gässel
Rue Nic Sinner	Rue Nicolas Sinner
ZAE - route de Bettel	Zone d'Activité Économique route de Bettel
Ernest Krier Wee	Ernest-Krier-Wee
Beim Fetschebur	Beim Fetschebuer
Rue du XI Novembre 1918	Rue du 11 novembre 1918
Kierfechstrooss	Kierfechtstrooss
Kierfichsstrooss	Kierfechtstrooss
Kierfichtstrooss	Kierfechtstrooss
Kiirfechstrooss	Kierfechtstrooss
Kiirfechtsstrooss	Kierfechtstrooss
Kiirfechtstrooss	Kierfechtstrooss
Rue d'Ettebruck	Rue d'Ettelbruck
Rue Siweneecken	Siweneecken
Faerschthaff	Färschthaff
Diänjer  Wee	Diänjer Wee
Rue Nic. Ueberecken	Rue Nicolas Ueberecken
Kuerzaacht	Rue Kurzacht
Rue de luxembourg	Rue de Luxembourg
Alschter Bierg	Alschterbierg
Spanischer Eck	Spueneschen Eck
Enner Maeschbierg	Ënner Maeschbierg
Enner den Thermen	Ënner den Thermen
Enner der Haerdchen	Ënner der Haerdchen
Ennert de Gaarden	Ënnert de Gaarden
Ennert dem Bierg	Ënnert dem Bierg
Ennert der Haart	Ënnert der Haart
Rue Enner Owent	Rue Ënner Owent
Am Hesselter	An Hesselter
Im Donner	Am Donner
Cité Elber	Cité An Elber
Hirtzhof	Hirtzhaff
Château Koedange	Château de Koedange
Hubertushof	Haupeschhaff
Um Beschelchen	Um Bëschelchen
Eckerbierg	Rue Eckerbierg
Scheidheck	Scheedheck
Berelerwee	Bärelerwee
Beesléckerweeg	Beesslekerweeg
Beessleker Weeg	Beesslekerweeg
Um Iewend	Um Ewend
Rue Eechelsbierrig	Eechelsbierrig
Loetsch	Lëtsch
Gehaansraich	Gehaansräich
Rue Ceca	Rue CECA
Cité Aischdall	Cité Äischdall
Schoulbeerg	Schoulberg
